003070,코오롱글로벌,KP,KR,건설,
003075,코오롱글로벌우,KP,KR,,우선주
003080,성보화학,KP,KR,화학,
003090,대웅,KP,KR,금융,
003100,선광,KD,KR,기타서비스,
003120,일성신약,KP,KR,제약바이오,
003160,디아이,KP,KR,반도체,
003200,일신방직,KP,KR,섬유의류,
003220,대원제약,KP,KR,제약바이오,
003230,삼양식품,KP,KR,음식료,
003240,태광산업,KP,KR,화학,
003280,흥아해운,KP,KR,해운사,
003300,한일홀딩스,KP,KR,건축자재,
003310,대주산업,KD,KR,음식료,
003350,한국화장품제조,KP,KR,화장품,
003380,하림지주,KD,KR,음식료,
003410,쌍용양회,KP,KR,건축자재,
003415,쌍용양회우,KP,KR,,우선주
003460,유화증권,KP,KR,증권,
003465,유화증권우,KP,KR,,우선주
003470,유안타증권,KP,KR,증권,
003475,유안타증권우,KP,KR,,우선주
003480,한진중공업홀딩스,KP,KR,가스유틸리티,
003490,대한항공,KP,KR,항공사,
003495,대한항공우,KP,KR,,우선주
003520,영진약품,KP,KR,제약바이오,
003530,한화투자증권,KP,KR,증권,
003535,한화투자증권우,KP,KR,,우선주
003540,대신증권,KP,KR,증권,
003545,대신증권우,KP,KR,,우선주
003547,대신증권2우B,KP,KR,,우선주
003550,LG,KP,KR,금융,
003555,LG우,KP,KR,,우선주
003560,IHQ,KP,KR,오락과문화,
003570,S&T중공업,KP,KR,자동차부품,
003580,넥스트사이언스,KP,KR,건축자재,
003610,방림,KP,KR,섬유의류,
003620,쌍용차,KP,KR,자동차,
003650,미창석유,KP,KR,화학,
003670,포스코케미칼,KP,KR,화학,
003680,한성기업,KP,KR,음식료,
003690,코리안리,KP,KR,보험,
003720,삼영화학,KP,KR,화학,
003780,진양산업,KP,KR,화학,
003800,에이스침대,KD,KR,가구제조업,
003830,대한화섬,KP,KR,화학,
003850,보령제약,KP,KR,제약바이오,
003920,남양유업,KP,KR,음식료,
003925,남양유업우,KP,KR,,우선주
003960,사조대림,KP,KR,음식료,
004000,롯데정밀화학,KP,KR,화학,
004020,현대제철,KP,KR,철강과금속,
004060,SG세계물산,KP,KR,섬유의류,
004080,신흥,KP,KR,유통,
004090,한국석유,KP,KR,화학,
004100,태양금속,KP,KR,자동차부품,
004105,태양금속우,KP,KR,,우선주
004140,동방,KP,KR,화물운송과물류,
004150,한솔홀딩스,KP,KR,금융,
004170,신세계,KP,KR,소매유통업,
004200,고려개발,KP,KR,,
004250,NPC,KP,KR,화학,
004255,NPC우,KP,KR,,우선주
004270,남성,KP,KR,유통,
004310,현대약품,KP,KR,제약바이오,
004360,세방,KP,KR,화물운송과물류,
004365,세방우,KP,KR,,우선주
004370,농심,KP,KR,음식료,
004380,삼익THK,KP,KR,기계와장비,
004410,서울식품,KP,KR,음식료,
004415,서울식품우,KP,KR,,우선주
004430,송원산업,KP,KR,화학,
004440,삼일씨엔에스,KP,KR,건축자재,
004450,삼화왕관,KP,KR,종이와목재,
004490,세방전지,KP,KR,자동차부품,
004540,깨끗한나라,KP,KR,종이와목재,
004545,깨끗한나라우,KP,KR,,우선주
004560,현대비앤지스틸,KP,KR,비철금속,
004565,현대비앤지스틸우,KP,KR,,우선주
004590,한국가구,KD,KR,유통,
004650,창해에탄올,KD,KR,주류제조업,
004690,삼천리,KP,KR,가스유틸리티,
004700,조광피혁,KP,KR,섬유의류,
004710,한솔테크닉스,KP,KR,디스플레이장비및부품,
004720,우리들제약,KP,KR,제약바이오,
004770,써니전자,KP,KR,전자장비와기기,
004780,대륙제관,KD,KR,종이와목재,
004800,효성,KP,KR,금융,
004830,덕성,KP,KR,섬유의류,
004835,덕성우,KP,KR,,우선주
004840,DRB동일,KP,KR,금융,
004870,티웨이홀딩스,KP,KR,항공사,
004890,동일산업,KP,KR,철강과금속,
004910,조광페인트,KP,KR,건축자재,
004920,씨아이테크,KP,KR,컴퓨터와주변기기,
004960,한신공영,KP,KR,건설,
004970,신라교역,KP,KR,음식료,
004980,성신양회,KP,KR,건축자재,
004985,성신양회우,KP,KR,,우선주
004990,롯데지주,KP,KR,음식료,
00499K,롯데지주우,KP,KR,,우선주
005010,휴스틸,KP,KR,철강과금속,
005030,부산주공,KP,KR,자동차부품,
005070,코스모신소재,KP,KR,화학,
005090,SGC에너지,KP,KR,종이와목재,
005110,한창,KP,KR,유통,
005160,동국산업,KD,KR,철강과금속,
005180,빙그레,KP,KR,음식료,
005190,동성화학,KP,KR,화학,
005250,녹십자홀딩스,KP,KR,제약바이오,
005257,녹십자홀딩스2우,KP,KR,,
005290,동진쎄미켐,KD,KR,전자장비와기기,
005300,롯데칠성,KP,KR,음식료,
005305,롯데칠성우,KP,KR,,우선주
005320,국동,KP,KR,섬유의류,
005360,모나미,KP,KR,문구류,
005380,현대차,KP,KR,자동차,
005385,현대차우,KP,KR,,우선주
005387,현대차2우B,KP,KR,,우선주
005389,현대차3우B,KP,KR,,우선주
005390,신성통상,KP,KR,유통,
005420,코스모화학,KP,KR,화학,
005430,한국공항,KP,KR,기타서비스,
005440,현대그린푸드,KP,KR,소매유통업,
005490,POSCO,KP,KR,철강과금속,
005500,삼진제약,KP,KR,제약바이오,
005610,SPC삼립,KP,KR,음식료,
005670,푸드웰,KD,KR,음식료,
005680,삼영전자,KP,KR,전자부품제조업,
005690,파미셀,KP,KR,화학,
005710,대원산업,KD,KR,자동차부품,
005720,넥센,KP,KR,자동차부품,
005725,넥센우,KP,KR,,우선주
005740,크라운해태홀딩스,KP,KR,음식료,
005745,크라운해태홀딩스우,KP,KR,,우선주
005750,대림B&Co,KP,KR,건축제품,
005800,신영와코루,KP,KR,섬유의류,
005810,풍산홀딩스,KP,KR,금융,
005820,원림,KP,KR,종이와목재,
005830,DB손해보험,KP,KR,보험,
005850,에스엘,KP,KR,자동차부품,
005860,한일사료,KD,KR,음식료,
005870,휴니드,KP,KR,우주항공및국방,
005880,대한해운,KP,KR,해운사,
005930,삼성전자,KP,KR,반도체,
005935,삼성전자우,KP,KR,,우선주
005940,NH투자증권,KP,KR,증권,
005945,NH투자증권우,KP,KR,,우선주
005950,이수화학,KP,KR,화학,
005960,동부건설,KP,KR,건설,
005965,동부건설우,KP,KR,,우선주
005990,매일홀딩스,KD,KR,음식료,
006040,동원산업,KP,KR,음식료,
006050,국영지앤엠,KD,KR,건축제품,
006060,화승인더,KP,KR,섬유의류,
006090,사조오양,KP,KR,음식료,
006110,삼아알미늄,KP,KR,비철금속,
006120,SK디스커버리,KP,KR,금융,
006125,SK디스커버리우,KP,KR,,우선주
006140,피제이전자,KD,KR,의료정밀기기,
006200,한국전자홀딩스,KP,KR,금융,
006220,제주은행,KP,KR,은행,
006260,LS,KP,KR,금융,
006280,녹십자,KP,KR,제약바이오,
006340,대원전선,KP,KR,전기전자,
006345,대원전선우,KP,KR,,우선주
006360,GS건설,KP,KR,건설,
006370,대구백화점,KP,KR,소매유통업,
006380,카프로,KP,KR,화학,
006390,한일현대시멘트,KP,KR,건축자재,
006400,삼성SDI,KP,KR,전자부품제조업,
006405,삼성SDI우,KP,KR,,우선주
006490,인스코비,KP,KR,,
006570,대림통상,KP,KR,건축제품,
006580,대양제지,KD,KR,종이와목재,
006620,동구바이오제약,KD,KR,제약바이오,
006650,대한유화,KP,KR,화학,
006660,삼성공조,KP,KR,자동차부품,
006730,서부T&D,KD,KR,기타서비스,
006740,영풍제지,KP,KR,종이와목재,
006800,미래에셋대우,KP,KR,금융,
006805,미래에셋대우우,KP,KR,,우선주
00680K,미래에셋대우2우B,KP,KR,,우선주
006840,AK홀딩스,KP,KR,금융,
006880,신송홀딩스,KP,KR,유통,
006890,태경케미컬,KP,KR,화학,
006910,보성파워텍,KD,KR,전기전자,
006920,모헨즈,KD,KR,건축자재,
006980,우성사료,KP,KR,음식료,
007070,GS리테일,KP,KR,소매유통업,
007110,일신석재,KP,KR,건축자재,
007120,미래아이앤지,KP,KR,IT서비스,
007160,사조산업,KP,KR,음식료,
007210,벽산,KP,KR,건축자재,
007280,한국특수형강,KP,KR,철강과금속,
007310,오뚜기,KP,KR,음식료,
007330,푸른저축은행,KD,KR,,
007340,디티알오토모티브,KP,KR,자동차부품,
007370,진양제약,KD,KR,제약바이오,
007390,네이처셀,KD,KR,제약바이오,
007460,에이프로젠 KIC,KP,KR,기계와장비,
007530,영신금속,KD,KR,자동차부품,
007540,샘표,KP,KR,음식료,
007570,일양약품,KP,KR,제약바이오,
007575,일양약품우,KP,KR,,우선주
007590,동방아그로,KP,KR,화학,
007610,선도전기,KP,KR,전기전자,
007630,폴루스바이오팜,KP,KR,통신장비,
007660,이수페타시스,KP,KR,전자부품제조업,
007680,대원,KD,KR,건설,
007690,국도화학,KP,KR,화학,
007700,F&F,KP,KR,섬유의류,
007720,대명소노시즌,KD,KR,유통,
007770,한일화학,KD,KR,화학,
007810,코리아써키트,KP,KR,전자부품제조업,
007815,코리아써우,KP,KR,전자장비와기기,
00781K,코리아써키트2우B,KP,KR,,우선주
007820,에스엠코어,KD,KR,기계와장비,
007860,서연,KP,KR,금융,
007980,태평양물산,KP,KR,섬유의류,
008040,사조동아원,KP,KR,음식료,
008060,대덕,KP,KR,전자부품제조업,
00806K,대덕1우,KP,KR,,
008110,대동전자,KP,KR,전자장비와기기,
008250,이건산업,KP,KR,건축자재,
008260,NI스틸,KP,KR,철강과금속,
008290,원풍물산,KD,KR,섬유의류,
008350,남선알미늄,KP,KR,건축제품,
008355,남선알미우,KP,KR,,
008370,원풍,KD,KR,화학,
008420,문배철강,KP,KR,철강과금속,
008470,부스타,KD,KR,기계와장비,
008490,서흥,KP,KR,화학,
008500,일정실업,KP,KR,자동차부품,
008560,메리츠증권,KP,KR,증권,
008600,윌비스,KP,KR,섬유의류,
008700,아남전자,KP,KR,전자부품제조업,
008730,율촌화학,KP,KR,종이와목재,
008770,호텔신라,KP,KR,레저,
008775,호텔신라우,KP,KR,,우선주
008800,행남사,KD,KR,가정용기기,
008830,대동기어,KD,KR,기계와장비,
008870,금비,KP,KR,종이와목재,
008930,한미사이언스,KP,KR,금융,
008970,동양철관,KP,KR,철강과금속,
009070,KCTC,KP,KR,화물운송과물류,
009140,경인전자,KP,KR,전자부품제조업,
009150,삼성전기,KP,KR,전자부품제조업,
009155,삼성전기우,KP,KR,,우선주
009160,SIMPAC,KP,KR,기계와장비,
009180,한솔로지스틱스,KP,KR,화물운송과물류,
009190,대양금속,KP,KR,비철금속,
009200,무림페이퍼,KP,KR,종이와목재,
009240,한샘,KP,KR,유통,
009270,신원,KP,KR,섬유의류,
009275,신원우,KP,KR,,우선주
009290,광동제약,KP,KR,제약바이오,
009300,삼아제약,KD,KR,제약바이오,
009310,참엔지니어링,KP,KR,디스플레이장비및부품,
009320,대우부품,KP,KR,자동차부품,
009410,태영건설,KP,KR,건설,
009415,태영건설우,KP,KR,,우선주
009420,한올바이오파마,KP,KR,제약바이오,
009440,KC그린홀딩스,KP,KR,금융,
009450,경동나비엔,KP,KR,가정용기기,
009460,한창제지,KP,KR,종이와목재,
009470,삼화전기,KP,KR,전자부품제조업,
009520,포스코엠텍,KD,KR,철강과금속,
009540,한국조선해양,KP,KR,조선,
009580,무림P&P,KP,KR,종이와목재,
009620,삼보산업,KD,KR,비철금속,
009680,모토닉,KP,KR,자동차부품,
009730,코센,KD,KR,비철금속,
009770,삼정펄프,KP,KR,종이와목재,
009780,엠에스씨,KD,KR,음식료,
009810,엔케이물산,KP,KR,유통,
009830,한화솔루션,KP,KR,화학,
009835,한화솔루션우,KP,KR,,우선주
009900,명신산업,KP,KR,,
009970,영원무역홀딩스,KP,KR,금융,
010040,한국내화,KP,KR,비철금속,
010050,우리종금,KP,KR,금융,
010060,OCI,KP,KR,화학,
010100,한국프랜지,KP,KR,자동차부품,
010120,LS ELECTRIC,KP,KR,전기전자,
010130,고려아연,KP,KR,비철금속,
010140,삼성중공업,KP,KR,조선,
010145,삼성중공우,KP,KR,,
010170,대한광통신,KD,KR,전기전자,
010240,흥국,KD,KR,기계와장비,
010280,쌍용정보통신,KD,KR,IT서비스,
010400,우진아이엔에스,KP,KR,건설,
010420,한솔PNS,KP,KR,유통,
010470,오리콤,KD,KR,기타서비스,
010580,지코,KP,KR,자동차부품,
010600,웰바이오텍,KP,KR,섬유의류,
010620,현대미포조선,KP,KR,조선,
010640,진양폴리,KP,KR,화학,
010660,화천기계,KP,KR,기계와장비,
010690,화신,KP,KR,자동차부품,
010770,평화홀딩스,KP,KR,자동차부품,
010780,아이에스동서,KP,KR,건설,
010820,퍼스텍,KP,KR,우주항공및국방,
010950,S-Oil,KP,KR,화학,
010955,S-Oil우,KP,KR,,우선주
010960,삼호개발,KP,KR,건설,
011000,진원생명과학,KP,KR,생물공학,
011040,경동제약,KD,KR,제약바이오,
011070,LG이노텍,KP,KR,전자부품제조업,
011080,형지I&C,KD,KR,섬유의류,
011090,에넥스,KP,KR,가구제조업,
011150,CJ씨푸드,KP,KR,음식료,
011155,CJ씨푸드1우,KP,KR,,
011160,두산건설,KP,KR,,
011170,롯데케미칼,KP,KR,화학,
011200,HMM,KP,KR,해운사,
011210,현대위아,KP,KR,자동차부품,
011230,삼화전자,KP,KR,전자장비와기기,
011280,태림포장,KP,KR,종이와목재,
011300,성안,KP,KR,섬유의류,
011320,유니크,KD,KR,자동차부품,
011330,유니켐,KP,KR,섬유의류,
011370,서한,KD,KR,건설,
011390,부산산업,KP,KR,건축자재,
011420,갤럭시아에스엠,KP,KR,오락과문화,
011500,한농화성,KP,KR,화학,
011560,세보엠이씨,KD,KR,건설,
011690,유양디앤유,KP,KR,디스플레이장비및부품,
011700,한신기계,KP,KR,기계와장비,
011760,현대상사,KP,KR,유통,
011780,금호석유,KP,KR,화학,
